fn7,fn8
0.244629159,-0.698620088
0.18116008,-0.227783147
0.152448834,-0.836612583
0.271733932,-0.427452878
0.206545703,-0.908521155
0.308869122,-0.675570512
0.231099084,-0.880587389
0.264779241,-0.08599121
0.258370083,-0.830735601
0.337667385,-0.529960962
0.178850775,-0.471491746
0.297887092,-0.431781304
0.325841957,-0.2138208
0.180953693,-0.227366851
0.220551026,-0.038152348
0.226143561,-0.618573769
0.29285013,-1.229132329
0.278979795,-0.612765353
0.221223737,-0.681957136
0.059114971,-0.656222151
0.192866138,-0.713777559
0.330637949,-0.661703117
0.209374881,-0.131923511
0.199481684,-0.200614706
0.311818785,-0.371331789
0.190582491,-0.747512255
0.278301507,-0.841682791
0.259161048,-0.38552161
0.296723515,-0.147323299
0.29915219,-0.695823909
0.226917792,-1.000930204
0.300633715,-0.491113892
0.126820008,-0.98263579
0.188215175,-0.271014205
0.372309195,-0.334407801
0.210925574,-0.490955548
0.297436387,-0.641239597
0.156525259,-0.519943838
0.272838382,-0.851679868
0.29095583,-0.184521037
0.272607452,-0.551062935
0.258874337,-0.778380064
0.290742749,-0.34318304
0.140552007,-0.74412151
0.263462826,-0.134327056
0.330338967,-0.487973365
0.243211223,-0.987621779
0.369125254,-0.347888849
0.24024371,-1.075398523
0.184164408,-0.126300325
0.356952873,-0.269488554
0.215295404,-0.683734848
0.374231385,-0.410923085
0.203127485,-0.435767979
0.128361776,-0.706130602
0.41196454,-0.994098681
0.251629589,-0.194410566
0.196989419,-1.011985469
0.353598245,-1.036483029
0.1036801,-0.724055437
0.178653312,-0.226717913
0.215410312,-0.843678745
0.303234194,-0.784778952
0.368237232,-0.281241636
0.250275243,-1.226228508
0.363259396,-0.067551228
0.249306896,-0.007278135
0.373495085,-1.203125945
0.248020602,-0.696745764
0.204117028,-0.937671451
0.218308657,-0.450972208
0.296253845,-0.823514554
0.161323482,-0.928919473
0.299627438,-0.625867472
0.345639509,-0.424413515
0.178101087,-0.113139192
0.262088399,-0.800569867
0.30263846,-0.742663432
0.323866219,-0.540784211
0.160734442,-0.540455219
0.326303819,-0.937295927
0.378542088,-0.689296889
0.254583715,-0.61195347
0.181764738,-0.775789016
0.339222541,-0.45854249
0.306473915,-0.355280597
0.221269476,-0.19846949
0.283074071,0.058875661
0.216045092,-0.845879023
0.275010468,-0.911676986
0.418083641,-0.797861253
0.323268254,-0.595072461
0.194423524,-0.724748881
0.329565852,-0.586501138
0.300624791,-1.231038816
0.253676727,-0.904562612
0.455026947,-0.689323182
0.203107404,-0.589061582
0.156501832,-0.792585003
0.259588325,-0.40626646
