num,fit
0,-0.234125092
0,-0.208115576
0,-0.200169327
0,-0.244397458
0,-0.224640152
0,-0.242661282
0,-0.217127416
0,-0.211241712
0,-0.249951399
0,-0.183525491
0,-0.220018011
0,-0.256363705
0,-0.247438723
0,-0.230238588
0,-0.212681608
0,-0.274412302
0,-0.213298338
0,-0.251681987
0,-0.264934873
0,-0.266449838
0,-0.147991787
0,-0.21195093
1,-0.248851565
0,-0.264320861
0,-0.233306609
0,-0.235731965
0,-0.280660716
0,-0.232485837
0,-0.232529655
0,-0.229644067
0,-0.215381298
0,-0.174783393
0,-0.190633371
0,-0.239977311
0,-0.251015758
0,-0.244785188
0,-0.289346992
0,-0.233780591
0,-0.217454313
0,-0.228733253
0,-0.256104985
0,-0.255419016
0,-0.225642282
0,-0.170909449
0,-0.24059007
0,-0.212001699
0,-0.281109112
1,-0.267797914
0,-0.190835101
0,-0.285651862
0,-0.284331986
0,-0.237847536
0,-0.219599194
0,-0.264625292
0,-0.262714483
0,-0.308308001
0,-0.274284025
0,-0.245060945
0,-0.306517957
0,-0.265696332
0,-0.268850554
0,-0.206878576
0,-0.180483512
0,-0.218772047
0,-0.219946584
0,-0.260751752
0,-0.284326179
0,-0.207744484
0,-0.211554081
0,-0.235602381
0,-0.222049162
1,-0.284110695
0,-0.20898332
0,-0.27109728
0,-0.214531644
0,-0.251232652
0,-0.204805893
0,-0.274525843
0,-0.248833666
0,-0.202129458
0,-0.225087707
0,-0.239666044
0,-0.26102676
1,-0.269929202
0,-0.216716385
0,-0.211891544
0,-0.210439883
0,-0.266083154
0,-0.24495699
0,-0.202637949
0,-0.18306253
0,-0.204191811
2,-0.244919564
0,-0.222749014
0,-0.226305483
0,-0.237687651
0,-0.224675974
0,-0.260952818
0,-0.18816963
0,-0.20874257
